IControl prefs:  border width: 18, border height: 18
IControl prefs:  title height: 16, Window height: 18
IControl prefs:  volume guage width: 19
screen width: 1024
Screen height: 768
entry Processing directory: PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T
Formatting actual folder - not a slove folder
screen width: 1024
windowWidth: 320
Dumping Icon Array of 267 icons, max width is 166px
Icon 33: Width = 42, Height = 42, Text Width = 74, Text Height = 13, Max Width = 74, Max Height = 57, x = 584, y = 3092, Text = TurboOutRun.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurboOutRun.info
Icon 34: Width = 42, Height = 42, Text Width = 67, Text Height = 13, Max Width = 67, Max Height = 57, x = 411, y = 3092, Text = TurboCupFr.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurboCupFr.info
Icon 35: Width = 42, Height = 42, Text Width = 55, Text Height = 13, Max Width = 55, Max Height = 57, x = 241, y = 3092, Text = TurboCup.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TurboCup.info
Icon 36: Width = 42, Height = 42, Text Width = 32, Text Height = 13, Max Width = 42, Max Height = 57, x = 72, y = 3092, Text = Turbo.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Turbo.info
Icon 37: Width = 42, Height = 42, Text Width = 107, Text Height = 13, Max Width = 107, Max Height = 57, x = 743, y = 3025, Text = TubularWorldsAGA.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TubularWorldsAGA.info
Icon 38: Width = 42, Height = 42, Text Width = 117, Text Height = 13, Max Width = 117, Max Height = 57, x = 562, y = 3025, Text = TubularWorlds512KB.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TubularWorlds512KB.info
Icon 39: Width = 42, Height = 42, Text Width = 106, Text Height = 13, Max Width = 106, Max Height = 57, x = 392, y = 3025, Text = TubularWorlds1MB.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TubularWorlds1MB.info
Icon 40: Width = 42, Height = 42, Text Width = 101, Text Height = 13, Max Width = 101, Max Height = 57, x = 218, y = 3025, Text = TubeWarriorsAGA.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TubeWarriorsAGA.info
Icon 41: Width = 42, Height = 42, Text Width = 62, Text Height = 13, Max Width = 62, Max Height = 57, x = 62, y = 3025, Text = TrollsCD32.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrollsCD32.info
Icon 42: Width = 42, Height = 42, Text Width = 57, Text Height = 13, Max Width = 57, Max Height = 57, x = 768, y = 2958, Text = TrollsAGA.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrollsAGA.info
