[17:46:40][INFO] Memory tracking initialized
[17:46:48][DEBUG] FREE: 14 bytes at 0x0007076c (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 2783]
[17:46:48][DEBUG] ALLOC: 9 bytes at 0x0007072c (src\icon_types.c:276) [Current: 2792, Peak: 3871]
[17:46:48][DEBUG] FREE: 9 bytes at 0x0007072c (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 2783]
[17:46:48][DEBUG] ALLOC: 14 bytes at 0x0007076c (src\icon_management.c:515) [Current: 2797, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 11 bytes at 0x0007072c (src\icon_management.c:532) [Current: 2808, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 15 bytes at 0x000707b4 (src\icon_types.c:221) [Current: 2823, Peak: 3871]
[17:46:48][DEBUG] FREE: 15 bytes at 0x000707b4 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 2808]
[17:46:48][DEBUG] ALLOC: 10 bytes at 0x000707b4 (src\icon_types.c:276) [Current: 2818, Peak: 3871]
[17:46:48][DEBUG] FREE: 10 bytes at 0x000707b4 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 2808]
[17:46:48][DEBUG] ALLOC: 15 bytes at 0x000707b4 (src\icon_management.c:515) [Current: 2823, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 12 bytes at 0x000707e4 (src\icon_management.c:532) [Current: 2835, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 17 bytes at 0x0007080c (src\icon_types.c:221) [Current: 2852, Peak: 3871]
[17:46:48][DEBUG] FREE: 17 bytes at 0x0007080c (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 2835]
[17:46:48][DEBUG] ALLOC: 12 bytes at 0x0007080c (src\icon_types.c:276) [Current: 2847, Peak: 3871]
[17:46:48][DEBUG] FREE: 12 bytes at 0x0007080c (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 2835]
[17:46:48][DEBUG] ALLOC: 17 bytes at 0x0007080c (src\icon_management.c:515) [Current: 2852, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 14 bytes at 0x0007083c (src\icon_management.c:532) [Current: 2866, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 29 bytes at 0x0007086c (src\icon_types.c:221) [Current: 2895, Peak: 3871]
